file_path,file_size,sheet_count,max_rows,max_cols,total_cells,non_empty_cells,numeric_cell_count,string_cell_count,formula_count,hyperlink_count,avg_cell_length,entropy_of_text,base64_pattern_count,hex_pattern_count,has_macro,remote_template_present,ocr_extracted_text_length,preview_image_text_entropy,deceptive_keywords_count_ocr,macro_line_count,macro_procedure_count,macro_chr_count,macro_string_function_count,macro_arithmetic_operator_count,macro_concatenation_count,macro_callbyname_count,macro_comment_lines,macro_average_line_length,macro_token_count,macro_count,uses_file_api,uses_network_api,uses_process_api,merged_cells_count,hidden_sheets_count,protected_sheets_count,named_ranges_count,empty_sheet_count,rich_text_formatting_count,macro_count_parentheses,macro_count_assignments,macro_max_line_length,macro_max_string_literals,macro_max_arithmetic_ops,macro_max_concat_ops,macro_vocab_size,preview_image_width,preview_image_height,label
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/76b60bea0fcfeb8027c633fcffd7e1517b7c75f894d3f951132df5a9ac01f3bf.xlsx,739072,1,1,1,1,0,0,0,0,0,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_8288.xlsx,58846,1,450,12,5400,4652,1579,3073,0,0,11.07910576096303,5.759033171727662,0,0,0,1,0,0,0,4652,0,15,0,1535,0,0,0,11.07910576096303,5211,0,1,0,1,0,0,0,0,0,0,0,0,35,0,2,0,5211,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_5037.xlsx,223714,2,2516,10,25164,19458,6445,13013,1,0,11.17483811285847,5.746161341042199,0,0,0,1,0,0,0,19458,0,68,0,6920,0,0,0,11.17483811285847,12384,0,1,0,0,0,0,0,0,0,0,2,1,39,0,2,0,12384,0,0,0
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_8278.xlsx,506774,4,2742,18,59955,46267,15349,30918,3,0,11.1646529924136,5.750388789542761,0,0,0,1,0,0,0,46267,0,121,0,16149,0,0,0,11.1646529924136,17441,0,1,0,1,0,0,0,0,0,0,6,3,39,0,2,0,17441,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/0429c3b3481f965b0c680c792f0d43c0bbd66122ea0c45f5b85760343989c542.xls,155136,1,117,12,1404,10,1,9,0,0,413.6,5.2498647268793,12,0,0,0,0,0,0,10,0,0,2,5,16,0,0,413.6,78,0,0,0,1,0,0,0,0,0,0,6,11,3080,14,2,14,78,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/a6558b710e458dd6f38e865601b8f3b5f36c4b70214904515eddcd329e5da6ec.xlsx,70531,5,31,20,1174,64,0,64,53,0,47.703125,5.12495925552806,0,0,0,14,0,0,0,64,0,0,0,71,190,0,0,47.703125,149,0,0,0,0,0,4,0,7,1,0,121,60,1538,12,6,125,149,0,0,1
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/996e3755d16295af6167066029afb5d2dbb163461750c87a0a6520ed1e67a276.xlsx,105503,7,37,20,1383,69,2,67,57,0,57.6521739130434,5.16785695173511,0,0,0,16,0,0,0,69,0,0,0,70,299,0,0,57.6521739130434,224,0,0,0,0,0,6,0,7,1,0,137,68,1907,47,6,138,224,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2739.xlsx,493196,2,2469,20,54586,46745,15634,31111,0,0,11.0741255749278,5.748422071809801,0,0,0,1,0,0,0,46745,0,152,0,16427,0,0,0,11.0741255749278,17475,0,1,0,1,0,0,0,0,0,0,0,0,39,0,2,0,17475,0,0,0
/content/drive/MyDrive/MasterCard/Nazgol /Malicious_Excel_Filtered_WithMoreExtension/7304891d271bf4a6491211e92443c58473070098e9afa6432e252bca69a59c0f.xlsx,298116,3,2087,229,486503,544,382,162,0,0,3.62683823529411,3.72021159214111,0,0,0,0,0,0,0,544,0,0,0,6,0,0,0,3.62683823529411,228,0,1,0,1,0,0,0,0,0,0,0,0,34,0,4,0,228,0,0,1
/content/drive/MyDrive/UNB/Mastercard project/Dataset/Excel_Benign_Done/BenignGenerated/Generated_benign_excels_10000/benign_sample_2407.xlsx,358391,4,2824,11,36471,31317,10487,20830,0,0,11.09183510553374,5.754720447194771,0,0,0,1,0,0,0,31317,0,110,0,10827,0,0,0,11.09183510553374,15301,0,1,0,1,0,0,0,0,0,0,0,0,40,0,2,0,15301,0,0,0
